"country","totalIPs"
"A1",59852
"A2",856784
"AD",37504
"AE",3685650
"AF",141590
"AG",51072
"AI",9989
"AL",347990
"AM",611370
"AO",1091334
"AP",144286
"AQ",4419
"AR",18687637
"AS",9672
"AT",11222142
"AU",48233696
"AW",54802
"AX",37373
"AZ",711958
"BA",804626
"BB",147979
"BD",1017864
"BE",11515675
"BF",63146
"BG",4388405
"BH",462603
"BI",24960
"BJ",63808
"BL",5
"BM",121611
"BN",199685
"BO",1129147
"BQ",16391
"BR",80821640
"BS",144234
"BT",27136
"BW",122648
"BY",1888236
"BZ",243209
"CA",82154553
"CC",5
"CD",132145
"CF",10501
"CG",49689
"CH",20675875
"CI",201600
"CK",8202
"CL",10175747
"CM",254287
"CN",330905276
"CO",17235705
"CR",2557821
"CU",256768
"CV",22784
"CW",321931
"CY",746342
"CZ",8188362
"DE",120459337
"DJ",41241
"DK",13032642
"DM",19526
"DO",1567544
"DZ",3747229
"EC",2639312
"EE",1371818
"EG",12007433
"ER",4352
"ES",29409128
"ET",98560
"EU",20114227
"FI",13649624
"FJ",140602
"FK",1671
"FM",12032
"FO",40197
"FR",80056521
"GA",322113
"GB",125481482
"GD",24070
"GE",1185159
"GF",48896
"GG",28428
"GH",521129
"GI",69728
"GL",20490
"GM",27397
"GN",27301
"GP",100832
"GQ",13585
"GR",6162373
"GS",5
"GT",638780
"GU",223272
"GW",10499
"GY",46080
"HK",12260249
"HN",484862
"HR",2381219
"HT",170496
"HU",5869210
"ID",19070602
"IE",7660775
"IL",7804625
"IM",73259
"IN",36734213
"IO",3072
"IQ",595221
"IR",10242615
"IS",865586
"IT",53400232
"JE",59042
"JM",268301
"JO",662926
"JP",204781934
"KE",3873052
"KG",271366
"KH",243712
"KI",6402
"KM",4613
"KN",26728
"KP",9539
"KR",112252142
"KW",1941160
"KY",203530
"KZ",2774164
"LA",61184
"LB",485988
"LC",25357
"LI",97082
"LK",547072
"LR",23096
"LS",74028
"LT",2429489
"LU",1286668
"LV",1837863
"LY",330760
"MA",5164810
"MC",53002
"MD",1382912
"ME",182784
"MF",7429
"MG",169493
"MH",7178
"MK",682522
"ML",57088
"MM",33344
"MN",207370
"MO",330245
"MP",14596
"MQ",92076
"MR",48440
"MS",2826
"MT",600862
"MU",1850892
"MV",55041
"MW",158281
"MX",28844822
"MY",6531412
"MZ",425989
"NA",429312
"NC",156426
"NE",45168
"NF",773
"NG",2409824
"NI",424848
"NL",49347142
"NO",15781814
"NP",486149
"NR",12549
"NU",2058
"NZ",7187065
"OM",904717
"PA",2052402
"PE",3197806
"PF",59394
"PG",59470
"PH",5417470
"PK",5294582
"PL",20640179
"PM",8453
"PN",8
"PR",1211562
"PS",578322
"PT",6410020
"PW",10496
"PY",1090703
"QA",819082
"RE",256513
"RO",11639343
"RS",2288961
"RU",46492200
"RW",360192
"SA",6802875
"SB",16138
"SC",2154057
"SD",1202190
"SE",26800124
"SG",6732361
"SH",512
"SI",2628629
"SJ",5
"SK",2794065
"SL",49960
"SM",30718
"SN",226338
"SO",19278
"SR",86794
"SS",7178
"ST",9477
"SV",667680
"SX",1796
"SY",958208
"SZ",48138
"TC",17419
"TD",14093
"TF",10
"TG",22784
"TH",8697807
"TJ",62979
"TK",2048
"TL",7684
"TM",9989
"TN",3257856
"TO",13314
"TR",16319523
"TT",519936
"TV",12554
"TW",35536758
"TZ",849822
"UA",11858650
"UG",239779
"UM",12
"US",1586671857
"UY",10838592
"UZ",235530
"VA",17984
"VC",22277
"VE",6806323
"VG",39818
"VI",117563
"VN",15661205
"VU",21770
"WF",3588
"WS",22276
"YE",69384
"YT",21516
"ZA",26149383
"ZM",847432
"ZW",130178
